evaluaterid,evaluateeid
11050121,11120009
11050121,12120098
11050121,12030015
11050121,11050016
11050121,12100016
11050121,11100211
11050121,21240001
11050121,21230003
11050121,11220175
11980036,11010143
11980036,11100007
11980036,11130075
11980036,12140051
11980036,11220039
11040086,11030061
11040086,12060037
11040086,11210046
11040086,11220123
11080043,11110053
11080043,11030054
11080043,11230035
11080043,11230028
11080043,41120081
11040050,11100004
11040050,12120011
11040050,21230005
11040050,11210110
11010060,11080015
11010060,12130005
